Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnote,Measure Start Date,Measure End Date,Location
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Emergency Department,OP_20,Door to diagnostic eval,22,1050,,04/01/2013,03/31/2014,"2800 CLAY EDWARDS DRIVE
NORTH KANSAS CITY, MO 64116
(39.14957037200003, -94.55243534199997)"
281361,LEXINGTON REGIONAL HEALTH CENTER,"P O BOX 980, 1201 NORTH ERIE ST",LEXINGTON,NE,68850,DAWSON,3083245651,Emergency Department,OP_20,Door to diagnostic eval,Not Available,Not Available,5 - Results are not available for this reporting period.,04/01/2013,03/31/2014,"P O BOX 980, 1201 NORTH ERIE ST
LEXINGTON, NE 68850
(40.78524766500004, -99.74165764699995)"
170020,HUTCHINSON REGIONAL MEDICAL CENTER INC,1701 E 23RD AVENUE,HUTCHINSON,KS,67502,RENO,6206652001,Emergency Department,OP_20,Door to diagnostic eval,47,433,,04/01/2013,03/31/2014,"1701 E 23RD AVENUE
HUTCHINSON, KS 67502
(38.079442794000045, -97.89355021099999)"
330102,KENMORE MERCY HOSPITAL,2950 ELMWOOD AVENUE,KENMORE,NY,14217,ERIE,7164476100,Emergency Department,OP_20,Door to diagnostic eval,20,413,,04/01/2013,03/31/2014,"2950 ELMWOOD AVENUE
KENMORE, NY 14217
(42.97722010500007, -78.87870862299997)"
450644,WEST HOUSTON MEDICAL CENTER,12141 RICHMOND AVE,HOUSTON,TX,77082,HARRIS,2815888080,Emergency Department,OP_20,Door to diagnostic eval,25,546,,04/01/2013,03/31/2014,"12141 RICHMOND AVE
HOUSTON, TX 77082
(29.730563010000026, -95.59320854099997)"
041311,HOWARD MEMORIAL HOSPITAL,130 MEDICAL CIRCLE,NASHVILLE,AR,71852,HOWARD,8708454400,Emergency Department,OP_20,Door to diagnostic eval,Not Available,Not Available,5 - Results are not available for this reporting period.,04/01/2013,03/31/2014,"130 MEDICAL CIRCLE
NASHVILLE, AR 71852
(33.95005630600008, -93.87839403599997)"
390113,MEADVILLE MEDICAL CENTER,751 LIBERTY STREET,MEADVILLE,PA,16335,CRAWFORD,8143335000,Emergency Department,OP_20,Door to diagnostic eval,24,2361,,04/01/2013,03/31/2014,"751 LIBERTY STREET
MEADVILLE, PA 16335
(41.641500876000066, -80.14643066799994)"
140161,SAINT JAMES HOSPITAL,2500 WEST REYNOLDS STREET,PONTIAC,IL,61764,LIVINGSTON,8158422828,Emergency Department,OP_20,Door to diagnostic eval,9,405,,04/01/2013,03/31/2014,"2500 WEST REYNOLDS STREET
PONTIAC, IL 61764
(40.87336322600004, -88.67901986599998)"
520096,WHEATON FRANCISCAN HEALTHCARE ALL SAINTS,3801 SPRING ST,RACINE,WI,53405,RACINE,2626874011,Emergency Department,OP_20,Door to diagnostic eval,32,381,,04/01/2013,03/31/2014,"3801 SPRING ST
RACINE, WI 53405
(42.73366345000005, -87.82578398899994)"
150005,HENDRICKS REGIONAL HEALTH,1000 E MAIN ST,DANVILLE,IN,46122,HENDRICKS,3177454451,Emergency Department,OP_20,Door to diagnostic eval,20,754,,04/01/2013,03/31/2014,"1000 E MAIN ST
DANVILLE, IN 46122
(39.760122153000054, -86.50253832699997)"
380007,LEGACY EMANUEL MEDICAL CENTER,2801 N GANTENBEIN AVENUE,PORTLAND,OR,97227,MULTNOMAH,5034132200,Emergency Department,OP_20,Door to diagnostic eval,31,394,,04/01/2013,03/31/2014,"2801 N GANTENBEIN AVENUE
PORTLAND, OR 97227
(45.544199787000025, -122.66953815299996)"
450871,ARISE AUSTIN MEDICAL CENTER,3003 BEE CAVES ROAD,AUSTIN,TX,78746,TRAVIS,5123479888,Emergency Department,OP_20,Door to diagnostic eval,20,204,,04/01/2013,03/31/2014,"3003 BEE CAVES ROAD
AUSTIN, TX 78746
(30.271592738000038, -97.79583786499995)"
030023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,COCONINO,9287732009,Emergency Department,OP_20,Door to diagnostic eval,39,414,,04/01/2013,03/31/2014,"1200 NORTH BEAVER STREET
FLAGSTAFF, AZ 86001
(35.208646728000076, -111.64517176599998)"
100047,BAYFRONT HEALTH PUNTA GORDA,809 E MARION AVE,PUNTA GORDA,FL,33950,CHARLOTTE,9416393131,Emergency Department,OP_20,Door to diagnostic eval,27,432,,04/01/2013,03/31/2014,"809 E MARION AVE
PUNTA GORDA, FL 33950
(26.94149111100006, -82.04031314099996)"
240001,NORTH MEMORIAL MEDICAL CENTER,3300 OAKDALE NORTH,ROBBINSDALE,MN,55422,HENNEPIN,7635205200,Emergency Department,OP_20,Door to diagnostic eval,15,407,,04/01/2013,03/31/2014,"3300 OAKDALE NORTH
ROBBINSDALE, MN 55422
(45.014592048000054, -93.32241403799998)"
330223,MASSENA MEMORIAL HOSPITAL,1 HOSPITAL DRIVE,MASSENA,NY,13662,SAINT LAWRENCE,3157641711,Emergency Department,OP_20,Door to diagnostic eval,22,408,,04/01/2013,03/31/2014,"1 HOSPITAL DRIVE
MASSENA, NY 13662
(44.93676751400005, -74.90831421899998)"
160082,IOWA METHODIST MEDICAL CENTER,1200 PLEASANT STREET,DES MOINES,IA,50309,POLK,5152416212,Emergency Department,OP_20,Door to diagnostic eval,38,266,,04/01/2013,03/31/2014,"1200 PLEASANT STREET
DES MOINES, IA 50309
(41.59068314000007, -93.63301109399998)"
360025,FIRELANDS REGIONAL MEDICAL CENTER,1111 HAYES AVENUE,SANDUSKY,OH,44870,ERIE,4195577400,Emergency Department,OP_20,Door to diagnostic eval,31,391,,04/01/2013,03/31/2014,"1111 HAYES AVENUE
SANDUSKY, OH 44870
(41.446238967000056, -82.70880231899997)"
241349,CENTRA CARE HEALTH PAYNESVILLE,200 1ST STREET WEST,PAYNESVILLE,MN,56362,STEARNS,3202433767,Emergency Department,OP_20,Door to diagnostic eval,14,158,3 - Results are based on a shorter time period than required.,04/01/2013,03/31/2014,"200 1ST STREET WEST
PAYNESVILLE, MN 56362
(45.37491631600005, -94.71637377399998)"
220001,"HEALTHALLIANCE HOSPITALS, INC",60 HOSPITAL ROAD,LEOMINSTER,MA,01453,WORCESTER,9784662000,Emergency Department,OP_20,Door to diagnostic eval,78,182,,04/01/2013,03/31/2014,"60 HOSPITAL ROAD
LEOMINSTER, MA 01453
(42.54117177900008, -71.76146734499997)"
241313,ESSENTIA HEALTH ADA,201 9TH STREET WEST,ADA,MN,56510,NORMAN,2187845000,Emergency Department,OP_20,Door to diagnostic eval,Not Available,Not Available,5 - Results are not available for this reporting period.,04/01/2013,03/31/2014,"201 9TH STREET WEST
ADA, MN 56510
(47.297893790000046, -96.53027357999997)"
670085,TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,10864 TEXAS HEALTH TRAIL,FORT WORTH,TX,76244,TARRANT,6822122004,Emergency Department,OP_20,Door to diagnostic eval,20,448,,04/01/2013,03/31/2014,"10864 TEXAS HEALTH TRAIL
FORT WORTH, TX 76244
(32.93238153900006, -97.30977820299995)"
521354,SOUTHWEST HEALTH CENTER,1400 EAST SIDE RD,PLATTEVILLE,WI,53818,GRANT,6083482331,Emergency Department,OP_20,Door to diagnostic eval,Not Available,Not Available,5 - Results are not available for this reporting period.,04/01/2013,03/31/2014,"1400 EAST SIDE RD
PLATTEVILLE, WI 53818
(42.71925877500007, -90.45575776499999)"
230142,OAKWOOD HOSPITAL - WAYNE,33155 ANNAPOLIS AVE,WAYNE,MI,48184,WAYNE,7344674175,Emergency Department,OP_20,Door to diagnostic eval,26,376,,04/01/2013,03/31/2014,"33155 ANNAPOLIS AVE
WAYNE, MI 48184
(42.27423000600004, -83.36611134599997)"
450347,HUNTSVILLE MEMORIAL HOSPITAL,110 MEMORIAL HOSPITAL DRIVE,HUNTSVILLE,TX,77340,WALKER,9362913411,Emergency Department,OP_20,Door to diagnostic eval,25,413,,04/01/2013,03/31/2014,"110 MEMORIAL HOSPITAL DRIVE
HUNTSVILLE, TX 77340
(30.69903283000008, -95.55842460999997)"
190184,CITIZENS MEDICAL CENTER,7939 U S HWY 165 SOUTH,COLUMBIA,LA,71418,CALDWELL,3186496106,Emergency Department,OP_20,Door to diagnostic eval,21,649,,04/01/2013,03/31/2014,"7939 U S HWY 165 SOUTH
COLUMBIA, LA 71418
(32.07873350400007, -92.09489103999994)"
361327,COMMUNITY HOSPITALS AND WELLNESS CENTERS,909 EAST SNYDER AVENUE,MONTPELIER,OH,43543,WILLIAMS,4194853154,Emergency Department,OP_20,Door to diagnostic eval,13,505,,04/01/2013,03/31/2014,"909 EAST SNYDER AVENUE
MONTPELIER, OH 43543
(41.589387689000034, -84.59539072699994)"
231328,ALLEGAN GENERAL HOSPITAL,555 LINN STREET,ALLEGAN,MI,49010,ALLEGAN,2696864101,Emergency Department,OP_20,Door to diagnostic eval,25,438,,04/01/2013,03/31/2014,"555 LINN STREET
ALLEGAN, MI 49010
(42.519804555000064, -85.85709898499994)"
340132,MARIA PARHAM MEDICAL CENTER,PO BOX 59,HENDERSON,NC,27536,VANCE,2524313708,Emergency Department,OP_20,Door to diagnostic eval,12,457,,04/01/2013,03/31/2014,"PO BOX 59
HENDERSON, NC 27536
(36.32619880500005, -78.40841929299995)"
060001,NORTH COLORADO MEDICAL CENTER,1801 16TH STREET,GREELEY,CO,80631,WELD,9703524121,Emergency Department,OP_20,Door to diagnostic eval,13,406,,04/01/2013,03/31/2014,"1801 16TH STREET
GREELEY, CO 80631
(40.41386780700003, -104.70932019199995)"
241357,ESSENTIA HEALTH FOSSTON,900 HILLIGOSS BOULEVARD SE,FOSSTON,MN,56542,POLK,2184351133,Emergency Department,OP_20,Door to diagnostic eval,Not Available,Not Available,5 - Results are not available for this reporting period.,04/01/2013,03/31/2014,"900 HILLIGOSS BOULEVARD SE
FOSSTON, MN 56542
(47.572031587000026, -95.73961978299997)"
370078,OKLAHOMA STATE UNIVERSITY MEDICAL CENTER,744 WEST 9TH STREET,TULSA,OK,74127,OSAGE,9185872561,Emergency Department,OP_20,Door to diagnostic eval,13,405,,04/01/2013,03/31/2014,"744 WEST 9TH STREET
TULSA, OK 74127
(36.146212097000046, -96.06199170999997)"
050736,MONTEREY PARK HOSPITAL,900 S ATLANTIC BLVD,MONTEREY PARK,CA,91754,LOS ANGELES,6265709000,Emergency Department,OP_20,Door to diagnostic eval,30,398,,04/01/2013,03/31/2014,"900 S ATLANTIC BLVD
MONTEREY PARK, CA 91754
(34.049987859000055, -118.13857745599995)"
490005,WINCHESTER MEDICAL CENTER,220 CAMPUS BLVD SUITE 210,WINCHESTER,VA,22601,WINCHESTER CITY,5405368000,Emergency Department,OP_20,Door to diagnostic eval,50,381,,04/01/2013,03/31/2014,"220 CAMPUS BLVD SUITE 210
WINCHESTER, VA 22601
(39.20054227300005, -78.18868245299996)"
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,COOK,7083332300,Emergency Department,OP_20,Door to diagnostic eval,10,397,,04/01/2013,03/31/2014,"ONE INGALLS DRIVE
HARVEY, IL 60426
(41.60651983300005, -87.65952786499997)"
360065,FISHER-TITUS HOSPITAL,272 BENEDICT AVENUE,NORWALK,OH,44857,HURON,4196688101,Emergency Department,OP_20,Door to diagnostic eval,34,389,,04/01/2013,03/31/2014,"272 BENEDICT AVENUE
NORWALK, OH 44857
(41.22578977200004, -82.60181413199996)"
451342,MITCHELL COUNTY HOSPITAL DISTRICT,997 WEST I-20,COLORADO CITY,TX,79512,MITCHELL,3257283431,Emergency Department,OP_20,Door to diagnostic eval,15,388,,04/01/2013,03/31/2014,"997 WEST I-20
COLORADO CITY, TX 79512
(32.39215727100003, -100.92845625899997)"
450373,EAST TEXAS MEDICAL CENTER MOUNT VERNON,500 S STATE HWY 37,MOUNT VERNON,TX,75457,FRANKLIN,9035374552,Emergency Department,OP_20,Door to diagnostic eval,20,293,,04/01/2013,03/31/2014,"500 S STATE HWY 37
MOUNT VERNON, TX 75457
(33.176574423000034, -95.23346949099994)"
370020,"MERCY HOSPITAL ADA, INC",430 NORTH MONTA VISTA,ADA,OK,74820,PONTOTOC,5803322323,Emergency Department,OP_20,Door to diagnostic eval,36,379,,04/01/2013,03/31/2014,"430 NORTH MONTA VISTA
ADA, OK 74820
(34.78598125600007, -96.68609770399996)"
450280,BAYLOR MEDICAL CENTER AT GARLAND,2300 MARIE CURIE DRIVE,GARLAND,TX,75042,DALLAS,9724875000,Emergency Department,OP_20,Door to diagnostic eval,48,221,,04/01/2013,03/31/2014,"2300 MARIE CURIE DRIVE
GARLAND, TX 75042
(32.91860761000004, -96.66228062999994)"
260011,ST MARY'S HEALTH CENTER,100 ST MARY'S MEDICAL PLAZA,JEFFERSON CITY,MO,65101,COLE,5737617000,Emergency Department,OP_20,Door to diagnostic eval,35,2423,,04/01/2013,03/31/2014,"100 ST MARY'S MEDICAL PLAZA
JEFFERSON CITY, MO 65101
(38.57898346300004, -92.18265947499998)"
100135,TALLAHASSEE MEMORIAL HOSPITAL,1300 MICCOSUKEE RD,TALLAHASSEE,FL,32308,LEON,8504311155,Emergency Department,OP_20,Door to diagnostic eval,54,362,,04/01/2013,03/31/2014,"1300 MICCOSUKEE RD
TALLAHASSEE, FL 32308
(30.45504990300003, -84.26351144799997)"
281360,BOX BUTTE GENERAL HOSPITAL,"P O BOX 810, 2101 BOX BUTTE AVE",ALLIANCE,NE,69301,BOX BUTTE,3087626660,Emergency Department,OP_20,Door to diagnostic eval,31,410,,04/01/2013,03/31/2014,"P O BOX 810, 2101 BOX BUTTE AVE
ALLIANCE, NE 69301
(42.11743938600006, -102.87682678099998)"
231304,HELEN NEWBERRY JOY HOSPITAL,502 W HARRIE ST,NEWBERRY,MI,49868,LUCE,9062939200,Emergency Department,OP_20,Door to diagnostic eval,10,281,,04/01/2013,03/31/2014,"502 W HARRIE ST
NEWBERRY, MI 49868
(46.35274386700007, -85.51721842599994)"
200001,ST JOSEPH HOSPITAL,360 BROADWAY,BANGOR,ME,04401,PENOBSCOT,2072621000,Emergency Department,OP_20,Door to diagnostic eval,20,405,,04/01/2013,03/31/2014,"360 BROADWAY
BANGOR, ME 04401
(44.81452887300003, -68.77130271999994)"
460044,ALTA VIEW HOSPITAL,9660 SOUTH 1300 EAST,SANDY,UT,84094,SALT LAKE,8015012600,Emergency Department,OP_20,Door to diagnostic eval,17,423,,04/01/2013,03/31/2014,"9660 SOUTH 1300 EAST
SANDY, UT 84094
(40.575599778000026, -111.85317706999996)"
330144,"IRA DAVENPORT MEMORIAL HOSPITAL, INC",7571 STATE ROUTE 54,BATH,NY,14810,STEUBEN,6077768500,Emergency Department,OP_20,Door to diagnostic eval,28,376,,04/01/2013,03/31/2014,"7571 STATE ROUTE 54
BATH, NY 14810
(42.37288258400008, -77.27875672399995)"
370008,NORMAN REGIONAL HEALTH SYSTEM,901 NORTH PORTER,NORMAN,OK,73070,CLEVELAND,4053211700,Emergency Department,OP_20,Door to diagnostic eval,18,386,,04/01/2013,03/31/2014,"901 NORTH PORTER
NORMAN, OK 73070
(35.22139425700004, -97.44496594999998)"
220012,CAPE COD HOSPITAL,88 LEWIS BAY ROAD,HYANNIS,MA,02601,BARNSTABLE,5087711800,Emergency Department,OP_20,Door to diagnostic eval,11,406,,04/01/2013,03/31/2014,"88 LEWIS BAY ROAD
HYANNIS, MA 02601
(41.653128614000025, -70.27486320599996)"
330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,5185612000,Emergency Department,OP_20,Door to diagnostic eval,46,562,,04/01/2013,03/31/2014,"75 BEEKMAN STREET
PLATTSBURGH, NY 12901
(44.70013376800006, -73.46669789699996)"
251304,TALLAHATCHIE CRITICAL ACCESS HOSPITAL,201 SOUTH MARKET ST / PO BOX 230,CHARLESTON,MS,38921,TALLAHATCHIE,6626475535,Emergency Department,OP_20,Door to diagnostic eval,23,1803,,04/01/2013,03/31/2014,"201 SOUTH MARKET ST / PO BOX 230
CHARLESTON, MS 38921
(34.004343809000034, -90.05819476599999)"
070029,BRISTOL HOSPITAL,BREWSTER RD,BRISTOL,CT,06010,HARTFORD,8605853000,Emergency Department,OP_20,Door to diagnostic eval,16,502,,04/01/2013,03/31/2014,"BREWSTER RD
BRISTOL, CT 06010
(41.67751919300008, -72.92876401899997)"
150177,UNITY MEDICAL AND SURGICAL HOSPITAL,4455 EDISON LAKES PKWY,MISHAWAKA,IN,46545,ST JOSEPH,5742316800,Emergency Department,OP_20,Door to diagnostic eval,Not Available,Not Available,5 - Results are not available for this reporting period.,04/01/2013,03/31/2014,"4455 EDISON LAKES PKWY
MISHAWAKA, IN 46545
(41.70082505100004, -86.17687428099998)"
271320,CABINET PEAKS MEDICAL CENTER,209 HEALTH PARK DR,LIBBY,MT,59923,LINCOLN,4062930100,Emergency Department,OP_20,Door to diagnostic eval,Not Available,Not Available,5 - Results are not available for this reporting period.,04/01/2013,03/31/2014,"209 HEALTH PARK DR
LIBBY, MT 59923
(48.392892791000065, -115.54608712499999)"
520116,UW HEALTH PARTNERS  WATERTOWN REGIONAL MED CTR,125 HOSPITAL DRIVE,WATERTOWN,WI,53098,DODGE,9202614210,Emergency Department,OP_20,Door to diagnostic eval,14,453,,04/01/2013,03/31/2014,"125 HOSPITAL DRIVE
WATERTOWN, WI 53098
(43.20057635200004, -88.69896078199997)"
450771,TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,6200 W PARKER RD,PLANO,TX,75093,COLLIN,9729818000,Emergency Department,OP_20,Door to diagnostic eval,24,441,,04/01/2013,03/31/2014,"6200 W PARKER RD
PLANO, TX 75093
(33.045123544000035, -96.83633855899996)"
450659,PARK PLAZA HOSPITAL,1313 HERMANN DR,HOUSTON,TX,77004,HARRIS,7135275019,Emergency Department,OP_20,Door to diagnostic eval,26,483,,04/01/2013,03/31/2014,"1313 HERMANN DR
HOUSTON, TX 77004
(29.722445184000037, -95.38809546499994)"
281334,BOONE COUNTY HEALTH CENTER,"P O BOX 151, 723 WEST FAIRVIEW ST",ALBION,NE,68620,BOONE,4023952191,Emergency Department,OP_20,Door to diagnostic eval,Not Available,Not Available,5 - Results are not available for this reporting period.,04/01/2013,03/31/2014,"P O BOX 151, 723 WEST FAIRVIEW ST
ALBION, NE 68620
(41.69914570700007, -98.01347950499996)"
210029,JOHNS HOPKINS BAYVIEW MEDICAL CENTER,4940 EASTERN AVENUE,BALTIMORE,MD,21224,BALTIMORE CITY,4105500123,Emergency Department,OP_20,Door to diagnostic eval,66,97,3 - Results are based on a shorter time period than required.,04/01/2013,03/31/2014,"4940 EASTERN AVENUE
BALTIMORE, MD 21224
(39.28740110800004, -76.55023201999995)"
100117,BAPTIST MEDICAL CENTER  BEACHES,1350 13TH AVE S,JACKSONVILLE BEACH,FL,32250,DUVAL,9042472900,Emergency Department,OP_20,Door to diagnostic eval,27,612,,04/01/2013,03/31/2014,"1350 13TH AVE S
JACKSONVILLE BEACH, FL 32250
(30.274522991000026, -81.39976987399996)"
170145,COFFEYVILLE REGIONAL MEDICAL CENTER,1400 W 4TH ST,COFFEYVILLE,KS,67337,MONTGOMERY,6202511200,Emergency Department,OP_20,Door to diagnostic eval,18,398,,04/01/2013,03/31/2014,"1400 W 4TH ST
COFFEYVILLE, KS 67337
(37.04046830600004, -95.63838029299995)"
430089,SIOUXLAND SURGERY CENTER LIMITED PARTNERSHIP,600 SIOUX POINT ROAD,DAKOTA DUNES,SD,57049,UNION,6052323332,Emergency Department,OP_20,Door to diagnostic eval,Not Available,Not Available,5 - Results are not available for this reporting period.,04/01/2013,03/31/2014,"600 SIOUX POINT ROAD
DAKOTA DUNES, SD 57049
(42.50513946400008, -96.49714481799998)"
190256,CYPRESS POINTE HOSPITAL EAST,989 ROBERT BLVD,SLIDELL,LA,70458,SAINT TAMMANY,5046908200,Emergency Department,OP_20,Door to diagnostic eval,Not Available,Not Available,5 - Results are not available for this reporting period.,04/01/2013,03/31/2014,"989 ROBERT BLVD
SLIDELL, LA 70458
(30.290949175000037, -89.76921180099998)"
050503,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,ENCINITAS,CA,92024,SAN DIEGO,7607536501,Emergency Department,OP_20,Door to diagnostic eval,21,417,,04/01/2013,03/31/2014,"354 SANTA FE DRIVE
ENCINITAS, CA 92024
(33.03624751700005, -117.28340998099998)"
250038,MADISON RIVER OAKS MEDICAL CENTER,161 RIVER OAKS DRIVE,CANTON,MS,39046,MADISON,6018554000,Emergency Department,OP_20,Door to diagnostic eval,23,1240,,04/01/2013,03/31/2014,"161 RIVER OAKS DRIVE
CANTON, MS 39046
(32.582599526000024, -90.08216617399995)"
230259,ST JOSEPH MERCY CHELSEA,775 S MAIN ST,CHELSEA,MI,48118,WASHTENAW,7344753911,Emergency Department,OP_20,Door to diagnostic eval,13,417,,04/01/2013,03/31/2014,"775 S MAIN ST
CHELSEA, MI 48118
(42.309563824000065, -84.02105429299996)"
450222,CONROE REGIONAL MEDICAL CENTER,504 MEDICAL CENTER BLVD,CONROE,TX,77304,MONTGOMERY,9365391111,Emergency Department,OP_20,Door to diagnostic eval,17,548,,04/01/2013,03/31/2014,"504 MEDICAL CENTER BLVD
CONROE, TX 77304
(30.28451448100003, -95.46626703199996)"
420007,SPARTANBURG REGIONAL MEDICAL CENTER,101 E WOOD ST,SPARTANBURG,SC,29303,SPARTANBURG,8645606000,Emergency Department,OP_20,Door to diagnostic eval,57,410,,04/01/2013,03/31/2014,"101 E WOOD ST
SPARTANBURG, SC 29303
(34.967823285000065, -81.94033984199996)"
330160,STATEN ISLAND UNIVERSITY HOSPITAL,475 SEAVIEW AVENUE,STATEN ISLAND,NY,10305,RICHMOND,7182269000,Emergency Department,OP_20,Door to diagnostic eval,16,403,,04/01/2013,03/31/2014,"475 SEAVIEW AVENUE
STATEN ISLAND, NY 10305
(40.58344819000007, -74.08573276799996)"
